idTempsPresent,description
0,Cloud development not observed or not observable
1,Clouds generally dissolving or becoming less developed
2,State of sky on the whole unchanged
3, Clouds generally forming or developing
4,"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes"
5,Haze
6,"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation"
7,"Dust or sand raised by wind at or near the station at the time of observation, but no well developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen"
8,"Well developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the time ot observation, but no duststorm or sandstorm"
9,"Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour"
10,Mist
11,Patches
12,More or less continous
13,"Lightning visible, no thunder heard"
14,"Precipitation within sight, not reaching the ground or the surface of the sea"
15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station"
16,"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station"
17,"Thunderstorm, but no precipitation at the time of observation "
18,Squalls
19,Funnel cloud
20,Drizzle (not freezing) or snow grains 
21,Rain (not freezing)
22,Snow
23,Rain and snow or ice pellets
24, Freezing drizzle or freezing rain
25,Shower(s) of rain
26,"Shower(s) of snow, or of rain and snow"
27,Shower(s) of hail or of rain and hail
28,Fog or ice fog
29,"Thunderstorm, but no precipitation at the time of observation "
30,Slight or moderate duststorm or sandstorm
31,Slight or moderate duststorm or sandstorm
32,Slight or moderate duststorm or sandstorm
33,Severe duststorm or sandstorm
34,Severe duststorm or sandstorm
35,Severe duststorm or sandstorm
36,Slight or moderate blowing snow
37,Heavy drifting snow
38,Slight or moderate blowing snow
39,Heavy drifting snow
40,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer"
41,Fog or ice fog in patches
42," Fog or ice fog, sky invisible"
43," Fog or ice fog, sky visible"
44," Fog or ice fog, sky visible"
45," Fog or ice fog, sky invisible"
46," Fog or ice fog, sky visible"
47," Fog or ice fog, sky invisible"
48,"Fog, depositing rime, sky visible"
49,"Fog, depositing rime, sky invisible"
50," Drizzle, not freezing, intermittent"
51," Drizzle, not freezing, continuous"
52," Drizzle, not freezing, intermittent"
53," Drizzle, not freezing, continuous"
54," Drizzle, not freezing, intermittent"
55," Drizzle, not freezing, continuous"
56,"Drizzle, freezing, slight"
57,"Drizzle, freezing, moderate or heavy (dence)"
58,"Drizzle and rain, slight"
59,"Drizzle and rain, moderate or heavy"
60,"Rain, not freezing, intermittent"
61," Rain, not freezing, continuous"
62,"Rain, not freezing, intermittent"
63," Rain, not freezing, continuous"
64,"Rain, not freezing, intermittent"
65," Rain, not freezing, continuous"
66,"Rain, freezing, slight"
67," Rain, freezing, moderate or heavy (dence)"
68,"Rain or drizzle and snow, slight"
69,"Rain or drizzle and snow, moderate or heavy"
70,Intermittent fall of snowflakes
71,Continuous fall of snowflakes
72,Intermittent fall of snowflakes
73,Continuous fall of snowflakes
74,Intermittent fall of snowflakes
75,Continuous fall of snowflakes
76,Diamond dust (with or without fog)
77,Snow grains (with or without fog)
78,Isolated star-like snow crystals (with or without fog)
79,Ice pellets
80,"Rain shower(s), slight"
81,"Rain shower(s), moderate or heavy"
82,"Rain shower(s), violent"
83,"Shower(s) of rain and snow mixed, slight"
84,"Shower(s) of rain and snow mixed, moderate or heavy"
85,"Snow shower(s), slight"
86,"Snow shower(s), moderate or heavy"
87,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed"
88,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed"
89,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder"
90,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder"
91,Slight rain at time of observation
92,Moderate or heavy rain at time of observation
93,"Slight snow, or rain and snow mixed or hail at time of observation"
94,"Moderate or heavy snow, or rain and snow mixed or hail at time of observation"
95,"Thunderstorm, slight or moderate, without hail"
96,"Thunderstorm, slight or moderate, with hail"
97,"Thunderstorm, heavy, without hail but with rain and/or snow at time of observation"
98,Thunderstorm combined with duststorm or sandstorm at time of observation
99,"Thunderstorm, heavy, with hail at time of observation"
