idVille,nomVille,codRegion
1,ABBEVILLE,10
2,LILLE-LESQUIN,10
3,PTE DE LA HAGUE,14
4,CAEN-CARPIQUET,9
5,ROUEN-BOOS,9
6,REIMS-PRUNAY,11
7,BREST-GUIPAVAS,13
8,PLOUMANAC'H,13
9,RENNES-ST JACQUES,13
10,ALENCON,9
11,ORLY,6
12,TROYES-BARBEREY,11
13,NANCY-OCHEY,11
14,STRASBOURG-ENTZHEIM,11
15,BELLE ILE-LE TALUT,13
16,NANTES-BOUGUENAIS,12
17,TOURS,7
18,BOURGES,7
19,DIJON-LONGVIC,8
20,BALE-MULHOUSE,11
21,PTE DE CHASSIRON,14
22,POITIERS-BIARD,12
23,LIMOGES-BELLEGARDE,12
24,CLERMONT-FD,16
25,LE PUY-LOUDES,16
26,LYON-ST EXUPERY,16
27,BORDEAUX-MERIGNAC,12
28,GOURDON,17
29,MILLAU,15
30,MONTELIMAR,16
31,EMBRUN,17
32,MONT-DE-MARSAN,14
33,TARBES-OSSUN,14
34,ST GIRONS,14
35,TOULOUSE-BLAGNAC,15
36,MONTPELLIER,15
37,MARIGNANE,17
38,CAP CEPET,17
39,NICE,17
40,PERPIGNAN,15
41,AJACCIO,18
42,BASTIA,18
43,GLORIEUSES,4
44,JUAN DE NOVA,4
45,EUROPA,19
46,TROMELIN,13
47,GILLOT-AEROPORT,4
48,NOUVELLE AMSTERDAM,20
49,CROZET,16
50,KERGUELEN,20
51,PAMANDZI,5
52,ST-PIERRE,4
53,LA DESIRADE METEO,1
54,ST-BARTHELEMY METEO,19
55,LE RAIZET AERO,1
56,TRINITE-CARAVEL,13
57,LAMENTIN-AERO,2
58,SAINT LAURENT,2
59,CAYENNE-MATOURY,3
60,SAINT GEORGES,7
61,MARIPASOULA,3
62,DUMONT D'URVILLE,20
